pair_id,sample_id,source_id,question,answer,label,generator,source,target_char_count,dataset_role
PAIR-000732,SAMPLE-004390,3922,林志玲在高德导航里的语音是怎么录制的？那么多的路名和城市地点都要录吗？,林志玲录制导航语音时，先录基础词句，再通过语音合成技术拼接生成路名和地点，无需逐条录制。,1,DeepSeek,open_questions,52,train
PAIR-000402,SAMPLE-002407,6261,布里斯本商学研究所的排名如何？,布里斯本商学研究所排名全澳第8，大学综合排名全澳第10。,0,human,nlpcc_dbqa,28,train
PAIR-000771,SAMPLE-004621,1604,涨奶的但BB好像不太喜欢吸，为什么？,你的意思是不是讲你有奶，而且还涨得很利害？如果是这样子的话，是因为你的奶涨得利害，而形成乳房很涨，BB不喜欢乳房因为奶涨了而形成的“硬”，我以前也是这样子的，因为奶涨得利害，乳房变得没有以前那么的软，小孩子不喜欢吸的。你最好是在奶涨之后先“放”小小奶，让乳房轻小小，这样子小孩子会吸的。,0,human,open_questions,143,train
PAIR-000469,SAMPLE-002809,8492,我九歲的小孩被一男生放學時在教室門口推倒，導致前面兩顆恆牙摔破，請問學校有沒有責任，應該怎樣賠嘗,男生监护人承担赔偿责任，如果学校有过错，则学校也承当与过错相当的责任。,0,human,law,35,train
PAIR-000166,SAMPLE-000994,4819,六人团是指哪几位作曲家？,六人团是法国六位作曲家：米约、奥涅格、普朗克、奥里克、迪雷和塔耶费尔。,1,DeepSeek,nlpcc_dbqa,39,train
PAIR-000725,SAMPLE-004345,8565,朋友持刀伤人我在一旁观看要付什么责任,还要看是否共同预谋，是否提供帮助等,0,human,law,17,train
PAIR-000411,SAMPLE-002465,6976,张家口有招商银行,张家口目前没有招商银行网点。,1,GLM,finance,36,train
PAIR-000837,SAMPLE-005017,3901,约炮的危害有哪些？,喔突然发现好多赞呀码农表示很开心 那就来说说我自己好了。本人女，本科大三，家庭的教育让我至今还守身如玉。前两年来到美国开始留学生涯，见过男女双方在国内有女友还互相约炮的，得意洋洋地说：“你们处女（处男）不懂，等你们经历了才知道什么是欲望，你们也会这样的。”也见过在国内非常自律的女生，和已婚男约炮搅在一起。我一直觉得这都离我太远，跟我生活没关。直到我遇到一个男生，是半个来自台湾的abc（小学毕业,0,human,open_questions,198,train
PAIR-000787,SAMPLE-004717,9508,父母关系不和对孩子有什么影响？孩子应该怎么克服？,孩子越小影响越大。父母和睦相处是孩子的最好的礼物。父母关系不和也要让孩子感觉到这与孩子无关，那是他们之间的事。父母都要对孩子表现出关心,0,human,psychology,67,train
PAIR-000784,SAMPLE-004699,4868,爱新觉罗·旻宁哪年去世的？,卒年：道光三十年（1850年）,0,human,nlpcc_dbqa,15,train
PAIR-000580,SAMPLE-003475,1399,我有一个计算机相关的问题，请用中文回答，什么是 思维科学,思维科学（noetic science），研究思维活动规律和形式的科学。要研究思维的自然属性和社会属性、思维的物质基础、语言及其对思维的作用、思维的历史发展及动物“思维”与机器“思维”等，还包括应用方面的研究。对思维科学体系分类尚无一致看法。 一般认为，思维科学基础研究内容包括：社会思维、逻辑思维、形象思维和灵感思维。还有的认为，应包括哲学世界观与研究主体人脑生理结构方面的学科。其研究方法大致有：通过对大脑的研究认识思维机制，从研究思维过程及其历史发展，通过语言来研究思维，由内省法研究思维，据对思维的模拟研究思维的模式，以及在方法论层次上的历史和逻辑相一致的方法、系统方法、综合方法等。 思维科学是从心理学、人工智能、计算机科学、生理学、文学艺术等方面研究人思维过程的规律。其应用领域涉及科学包括语言学、模式识别、人工智能、教育学、情报学、管理学、文字学等学科。哲学、心理学观点及研究方法决定了思维科学行为主义、联想主义、格式塔和信息学等学派的形成。思维科学的研究对于科学体系结构与人脑潜力的发挥有重要的理论意义和实践意义。,0,human,baike,465,train
PAIR-000035,SAMPLE-000205,9378,一厢情愿，该如何好好放下,你理想中的伴侣是什么样的，这个男生哪些地方吸引了你，你觉的爱和喜欢有哪些不同？又是什么阻碍了你去真实表达自己,0,human,psychology,54,train
PAIR-000662,SAMPLE-003967,7017,我的身份证号又是人家的名字办了银行卡怎么办,把身份证改成自己的名字后，再办银行卡，,0,human,finance,19,train
PAIR-000898,SAMPLE-005383,7104,解绑银行卡和手机号换新号,您好，我行预留手机号码分为M1和M2；M2适用范围：资金出入账通知；大众版支付、签约转账验证码获取等功能，可以通过网银专业版更改；专业版预留电话即M1手机号码用于专业版支付、转账汇款等获取验证码以及证书（恢复、复制、证书到期）短信通知。专业版预留电话M1无法在专业版上修改，需要您本人带上一卡通跟身份证去我行任一柜台修改。,0,human,finance,161,train
PAIR-000043,SAMPLE-000255,8476,丈夫欠债，无力偿还，如果法院强制执行，会不会查封妻子名下的分红保险？,法院强制执行时，若丈夫欠债，妻子名下的分红保险一,1,Qwen3,law,20,train
PAIR-000782,SAMPLE-004690,5431,濑户内短期大学是什么时候停办的？,濑户内短期大学于2009年停办。,1,DeepSeek,nlpcc_dbqa,19,train
PAIR-000110,SAMPLE-000660,7855,乳腺癌患者化疗前如何血液检查 乳腺癌患者化疗三次前血液检查，谷草转氨酶46.9。谷丙转氨酶61.7。Y-谷氨酰基转移酶46.1。碱性磷酸酶134.5。正常吗？还要在仔细检查什么吗？,在化疗前进行血液检查是很重要的，这可以帮助医生了解患者的健康状况，并确定是否适合接受化疗。在化疗前，通常会测量肝脏功能、血细胞计数、血小板计数和贫血状况。谷草转氨酶（AST）、谷丙转氨酶（ALT）和Y-谷氨酰基转移酶（GGT）是肝脏功能的指标。正常范围是AST：5-40 U/L，ALT：7-56 U/L，GGT：9-48 U/L。在这里，您给出的数据显示AST、ALT和GGT均超出了正常范围。这可能表明肝脏可能受到损伤或疾病的影响。碱性磷酸酶（ALP）是肝脏、骨骼肌和肾脏功能的指标。正常范围是40-129 U/L。在这里，您给出的数据显示ALP超出了正常范围。这可能表明肝脏、骨骼肌或肾脏可能受到损伤或疾病的影响。建议您咨询您的医生，以了解这些数据的意义，并得到进一步的检查和治疗。医生可能会建议您进行其他检查，以确定疾病的原因并制定治疗计划。,1,GPT初始,medicine,375,train
PAIR-000291,SAMPLE-001745,3756,大家摘抄过什么样的句子，可以使自己潸然泪下？相见不如怀念,我曾摘抄过这样一句话：有些人，错过了就是一辈子。相见不如怀念，因为再见时，物是人非，唯有记忆中的你依然美好，让我潸然泪下。,1,GLM,open_questions,123,train
PAIR-000079,SAMPLE-000469,4866,中文学校的作用是什么？,另外，与中华文化有关的才艺教学以及经常性的社区聚会，也是中文学校常见的活动内容。,0,human,nlpcc_dbqa,40,train
PAIR-000706,SAMPLE-004231,1648,昆明市呈贡新区怎么办理网吧经营许可证,办理网吧的经营许可证，公安机关有两项前置审批，一是消防安全，二是网络安全，这两项均须到当地公安机关办理，即周口市公安局办理。消防安全是在当地公安机关消防部门审核，网络安全是在公安机关网络监察部门审核，如果你的网吧属于连锁网吧，还须由你加盟的连锁网吧经营单位来省公安厅备案。,0,human,open_questions,136,train
PAIR-000182,SAMPLE-001087,6651,分期付款可以一次性付清吗,可以。。。。,0,human,finance,6,train
PAIR-000936,SAMPLE-005614,7588,转氨酶高要怎么办 肺炎住院，检查血转氨酶，丙氨酸转移酶213，天冬氨酸转移酶264，大夫说有可能是病毒引起的，,转氨酶显著升高需先明确病因。肺炎期间病毒或药物均可致肝损伤，建议复查肝功能、乙肝丙肝标志物及腹部超声。若为病毒性肝炎，需抗病毒并保肝治疗；药物性则调整用药。住院期间遵医嘱监测，避免自行服保肝药。饮食清淡，忌酒，保证休息，多数可随感染控制逐渐恢复。 建议结合具体情况进一步分析。,1,DeepSeek,medicine,196,train
PAIR-000420,SAMPLE-002518,9644,心情很容易受环境或者外界场景的影响，是心理疾病吗？,这不一定算心理疾病，更多是情绪敏感特质。它源于高共情或感知力，属正常心理反应。若影响生活或持续低落，建议观察频率、强度及恢复时间，必要时咨询心理专业人士评估。,1,DeepSeek,psychology,79,train
PAIR-000044,SAMPLE-000259,7190,三个月宝宝吃伊可新还用吃钙片么 无,缺钙的话，是可以用药物补充的，补一段之后，就需要停下来的，时间不好定，看进补的情况，一般一两个月，钙补多了是不好的，维生素D也不能吃多的，对大点孩子以后饮食上就够了。,0,human,medicine,83,train
PAIR-000221,SAMPLE-001323,7891,变天就腰痛 曾劝架时被欧打，中药诊治无效果;痛处栘动猜寒气，草药吃过痛未消;腰肌劳损来诊治，通迪甲钴也无效;今日变天腰叉痛，寻求帮助谢专家！,变天时腰痛可能与体寒、气血不畅或旧伤有关，尤其曾受外力撞击，需注意腰部保暖，避免受凉。建议结合中医调理，如艾灸、拔罐以温经散寒，同时可配合理疗改善局部血液循环。若腰肌劳损久治无效，可考虑进一步检查排除椎间盘突出或其他骨骼问题。日常注意姿势，避免久坐久站，适当进行腰部拉伸锻炼，增强肌肉支撑力。若疼痛持续加重，建议及时就医，进行专业诊断与治疗。,1,Qwen3,medicine,189,train
PAIR-000942,SAMPLE-005652,3586,近似自由电子和紧束缚态近似究竟是什么?有什么区别？看书根本就看不懂，有没有大神通俗易懂的讲讲两种近似究竟是啥，给些好的链接来也行，蟹蟹！,在分子物理学中，近似自由电子和紧束缚态近似是用来描述分子电子结构的方法。近似自由电子假设分子中的电子是一组自由的、不相互作用的电子，即电子与核相互作用的力被忽略。在这种近似下，电子能量可以用简单的数学方法来计算。这种近似通常用于描述大分子中的电子结构，因为在大分子中，电子之间的相互作用很小。紧束缚态近似假设分子中的电子是一组紧束缚的电子，即电子与核的相互作用很强。在这种近似下，电子能量可以用复杂的数学方法来计算。这种近似通常用于描述小分子中的电子结构，因为在小分子中，电子之间的相互作用很大。希望这些解释能帮到你！如果你需要更多信息，可以参考下面的链接：维基百科：近似自由电子和紧束缚态近似：https://en.wikipedia.org/wiki/Free-electron_and_tight-binding_approximationsKhan Academy：分子电子结构：https://www.khanacademy.org/science/chemistry/modern-quantum-theory-and-electronic-structure-of-atoms/quantum-mechanics-of-atoms/a/molecular-electronic-structure,1,GPT初始,open_questions,555,train
PAIR-000649,SAMPLE-003889,8514,我父亲已经过世22年，原有二个老婆，第一位解放后离婚，第二位最近去世。那么她的遗产第一位老婆的孩子还有权继续吗？（注：第一位老婆孩子早已经知道父亲去世，因为文革政治考虑放弃往来！）,你母亲如没有抚养过前妻的子女，前妻子女对你母亲遗产没有继承权。若需帮助，可来电或预约当面洽谈。,0,human,law,47,train
PAIR-000507,SAMPLE-003037,533,我有一个计算机相关的问题，请用中文回答，什么是 ASCII,ASCII (American Standard Code for Information Interchange)：美国信息交换标准代码是基于拉丁字母的一套电脑编码系统，主要用于显示现代英语和其他西欧语言。它是最通用的信息交换标准，并等同于国际标准 ISO/IEC 646。ASCII第一次以规范标准的类型发表是在1967年，最后一次更新则是在1986年，到目前为止共定义了128个字符。,0,human,baike,195,train
PAIR-000432,SAMPLE-002589,7922,怎么样预防肺癌这种疾病 我有个高中同学上个月因为的了肺癌去世了年仅39岁，他的过世给我们老同学的牵动很大，39本来应该是事业家庭大成的时候却得了这种病，所以我想知道怎么样预防工作肺癌？,预防肺癌的关键在于减少有害物质的接触和增强自身免疫力。首先，戒烟并远离二手烟，烟草中的有害物质是肺癌的主要诱因之一。其次，避免长期吸入粉尘、油烟等有害气体，工作环境中应注意防护。此外，保持健康的生活方式，如均衡饮食、适量运动、规律作息，有助于提高身体抵抗力。定期体检，尤其是胸部X光或低剂量螺旋CT检查，能帮助早期发现肺癌，提高治愈率。同时，减少酒精摄入，保持心情舒畅,1,Qwen3,medicine,155,train
PAIR-000371,SAMPLE-002221,8094,对于乳腺增生，腋窝淋巴结肿大 我还没有结婚生孩子呢，但是最近胸部有点不舒服的，而且有点硬，会疼，不是经常疼的，有时候没事，请问对于乳腺增生，腋窝淋巴结肿大,根据您的叙述，防止食用熏烤，辛辣，刺激性食物，戒烟酒，作息时间规律，断然不要熬夜，多饮水，勤排尿，始终保持大便畅通，始终保持心情愉悦，减少生气，减低压力，必要时口服乳痹消或者消遥丸，不定期做乳腺，腋窝彩超复检。乳腺增生是一种容易病发的妇科疾病，在治疗期间，女性需要有看重自身的护理，尤其是护理方面，建议患者多注意治疗期间防止性生活，多注意清洁，最后祝女性患者可以尽快康复！,0,human,medicine,186,train
PAIR-000007,SAMPLE-000038,6888,2####0万存储怎样理财,2####0万存款建议分散投资，低风险占七成，中高风险占三成，兼顾收益与安全。如果信息不足，应结合具体背景进一步核实，避免只凭单一。,1,GPT-5,finance,60,train
PAIR-000332,SAMPLE-001987,7916,妊娠糖尿病可以吃柚子吗 妊娠糖尿病可以吃柚子吗,你好，柚子中含有一种生理活性物质，叫做柚皮甙，可以降低血液的黏稠度，减少血栓的形成。吃柚子可以促进伤口愈合，对败血病和脑血栓、中风等脑血管疾病都有较好的预防作用，尤其适合中老年人食用。指导意见：吃柚子好，可以降血糖，预防妊娠糖尿病。所以可以吃，有益处,0,human,medicine,125,train
PAIR-000258,SAMPLE-001548,9494,因为不想作业，不会管理时间，感到很痛苦，该怎么办？,不想做作业，不会管理时间是很常见的问题，而且这些问题也可能会导致痛苦感。如果你正在经历这些问题，这里有一些建议可能会对你有帮助：建立良好的习惯：尝试在同一时间每天做作业，这样你就会习惯于在这段时间做作业，并且能够更好地把注意力集中在作业上。制定计划：尝试制定周计划或者日计划，计划好每天做作业的时间。这样你就能够更好地把时间划分给各项任务，也能够避免因为分散注意力而花费更多的时间。寻找更有效的学习方法：尝试改变学习方式，寻找更适合自己的方法。例如，你可以尝试讨论、分组学习或者听课记录等方法。寻求帮助：如果你在做作业时遇到了困难，不要害怕寻求帮助。你可以向老师请教，也可以向家长、同学或者其他可靠的人寻求帮助。保持良好的身心健康：良好的身心健康对于更好地完成作业和学习很重要。尝试保持适当的规律生活，给自己,1,GPT初始,psychology,354,train
PAIR-000419,SAMPLE-002509,5319,德蒙福特大学的地理位置在哪儿？,德蒙福特大学（De Montfort University，DMU）是一座位于英格兰莱斯特郡莱斯特的公立大学，靠近索尔河和莱斯特城堡花园。,0,human,nlpcc_dbqa,69,train
PAIR-000521,SAMPLE-003122,890,我有一个计算机相关的问题，请用中文回答，什么是 NetBSD,NetBSD 是一个免费、开源且高度可移植的类 Unix 操作系统，基于伯克利软件发行版。它最为显著的特点是拥有极其出色的跨平台支持能力，能够运行在从大型服务器到嵌入式设备的数十种硬件架构上。这种设计理念使其代码库极为整洁。NetBSD 注重系统设计的正确性与优雅性，在科研、教育及网络设备领域应用广泛。它的网络服务性能优异，且遵循宽松许可证，允许用户自由修改与分发，是极具技术魅力的系统。理解时可以结合定义、作用、工作方式和常见应用来看，会更容易掌握。如果信息不足，应结合具体背景进一步核实，避免只凭单一说法下结论。,1,GPT-5,baike,263,train
PAIR-000441,SAMPLE-002641,6970,怕贷款不符合导致信用不良,可以呀，你想用多少的,0,human,finance,10,train
PAIR-000738,SAMPLE-004423,6152,桃园县立龟山国民中学的英文翻译和略称分别是什么、它在什么地方？,桃园县立龟山国民中学（英文：Guei Shan Junior High School），简称龟山国中、龟中，位于台湾桃园县龟山乡。,0,human,nlpcc_dbqa,65,train
PAIR-000068,SAMPLE-000406,8539,个体户企业聘用退休人员，无任何合同，在下班后突然倒地，后送至医院抢救半月后死亡。在住院期间企业方支付了住院费以及抚恤金。请问时候还来要钱该如何处理,已支付费用属人道补偿，无需再付，建议协商并留存凭证。,1,DeepSeek,law,27,train
PAIR-000228,SAMPLE-001363,7993,吃了避孕药出现恶心呕吐该如何？ 还没有想好应不应该要宝宝，每次房事已经结束后，就会吃一颗避孕药来防止怀孕，吃了避孕药，心里面会犯恶心，偶尔会干呕，吃了避孕药，再次出现恶心干呕情况是为啥？以后还可以吃避孕药吗？,很高兴把你打正常情况下，如果这儿口服紧急避孕药以后再次出现恶心干呕的症状，主要是由于紧急避孕药持继为毛穿起了副作用，再次出现这种情况，如果要做手术不能可以先仔细观察一下，如果干呕指数都可以消除多番立酮片或者微分偏等药物来实施加重治疗，但是只要口服药物期间应当多喝水，多排尿，增进药物的代谢，但用药期间要留意月经的两人是不是再次出现大出血，如果再次出现大出血，就需要有把紧急避孕药彻底的停掉。,0,human,medicine,195,train
PAIR-000756,SAMPLE-004531,4993,江苏师范大学的前身是什么？,江苏师范大学的前身是1952年创办于江苏省无锡市的转业干部文化速成学校，首任校长为刘先胜中将。,0,human,nlpcc_dbqa,47,train
PAIR-000952,SAMPLE-005707,7951,鄂尔多斯哪家医院肛肠科最有名？ 前不久查患有肛肠疾病，想请教哪家医院治疗肛肠疾病最好？,你好，这个是可以治好的。治这病最好的医院要属鄂尔多斯同济医院了，那里的医院治这个病最好。不信你去看看吧。鄂尔多斯市同济医院是经内蒙古卫生厅及鄂尔多斯卫生局批准的一所集临床、预防、科研、检测、治疗为一体的现代化二级综合性医院。我院本着“高起点、高标准、高要求”的建院方针，严格按照建院级别标准建设，并与国内多家权威医院协作，采用远程医疗形式。同时，拥有数十名中高级职称的专家、教授亲诊，使患者身处本院，亦可得到高标准的诊疗服务。鄂尔多斯市东街北国新天地对面,0,human,medicine,227,train
PAIR-000153,SAMPLE-000917,8011,做爱多久才不算早泄？ 我今年25岁，第一次耍女朋友，聊了好长时间女朋友才同意去开房，想一想都激动，结果还没出去就射了，感觉好丢人，我平时又没性交的习惯。做爱多久才不算早泄？,从医学上看，阴茎插入阴道后两分钟以上射精通常不算早泄。你这是首次经历，极度兴奋导致过早射精完全正常，别有心理负担。建议放松心情，与女友多沟通，慢慢积累经验，情况自然会好转。,1,GLM,medicine,167,train
PAIR-000043,SAMPLE-000253,8476,丈夫欠债，无力偿还，如果法院强制执行，会不会查封妻子名下的分红保险？,如果胜诉方能提供相关执行证据就会被执行。,0,human,law,20,train
PAIR-000962,SAMPLE-005767,6784,银行转账迟迟不到账公司会计通过网上银行给我转账发工资，姓名，银行卡号，开户行都没错，为什么超过20小时没收到转账,若是我行一卡通转出，网上银行/手机银行转账汇款到账时间:同行转账:无论同城或异地，转入个人账户实时到账，转入公司账户，账号户名完全匹配则实时入账，若不完全相符，代理行会计将在1个工作日内入账或退回。跨行转账:有三种转账模式，分为普通、快速和实时，到账时间不同:1、普通模式:1-2个工作日内提出，到账时间取决于对方银行的系统处理情况；2、快速模式:我行实时提出，到账时间取决于对方银行的系统处理情况；3、实时模式:正常情况下，实时到账。4、“次日提出”转账模式，跨行转账在次日0点以普通模式提出，预计1-2个工作日到账。,0,human,finance,260,train
PAIR-000565,SAMPLE-003385,525,我有一个计算机相关的问题，请用中文回答，什么是 多任务,"多任务处理是指用户可以在同一时间内运行多个应用程序,每个应用程序被称作一个任务.Linux、windows就是支持多任务的操作系统,比起单任务系统它的功能增强了许多。 当多任务操作系统使用某种任务调度策略允许两个或更多进程并发共享一个处理器时，事实上处理器在某一时刻只会给一件任务提供服务。因为任务调度机制保证不同任务之间的切换速度十分迅速，因此给人多个任务同时运行的错觉。多任务系统中有3个功能单位：任务、进程和线程。",0,human,baike,210,train
PAIR-000657,SAMPLE-003937,8519,我的员工在离的时候保留了一份他工作时的客户名单。现在他新成立了公司，还保持和这些客户的联系。已经造成了多起我公司客户流失。请问对这种情况是否属于不正当竞争？或是在法律上有所约束？,看你当初有没有和他签订竞业限制或者竞业禁止协议，还有这个客户名单是否属于你公司的商业秘密。如果没有，则对方不属于不正当竞争,0,human,law,61,train
PAIR-000043,SAMPLE-000257,8476,丈夫欠债，无力偿还，如果法院强制执行，会不会查封妻子名下的分红保险？,会查封，属于夫妻共同财产。,1,GLM,law,20,train
PAIR-000211,SAMPLE-001261,7871,卵巢囊肿能染发吗？ 我最近在医院仔细检查出有卵巢囊肿，最近很想去染个头发，卵巢囊肿能烫发吗？,从你的叙述上看，近期仔细检查得了卵巢囊肿，卵巢囊肿，一种妇科的一种常见的良性的肿瘤，一般情况下对健康影响不是太明显，但有一小部分患者可以引发不孕症。一般的使用的染发剂，都是一些化工产品，可能会引来头皮的炼化，所以烫发对身体的健康是不利的，但对于卵巢囊肿影响是不大。,0,human,medicine,132,train
PAIR-000782,SAMPLE-004692,5431,濑户内短期大学是什么时候停办的？,濑户内短期大学是在 2021 年 4 月停办的。濑户内短期大学是日本的一所短期大学，位于愛媛縣濑户内市。该校成立于 1953 年，原本是一所职业训练学校，后来更名为濑户内短期大学。该校于 2021 年 4 月宣布停办，原因是学生人数下降，无法维持运营。,1,GPT初始,nlpcc_dbqa,126,train
PAIR-000055,SAMPLE-000326,6868,不去银行怎么改手机号,不去银行网点更改预留手机号码，您可以通过多种便捷的线上渠道自助完成办理。首先推荐使用手机银行APP，登录后在“我的”或“安全中心”板块找到个人信息修改选项，按照系统提示进行身份验证，例如输入交易密码、短信验证码或进行人脸识别，即可直接更新手机号。其次，您可以关注并进入银行的官方微信公众号，绑定银行卡后，在底部菜单栏的“账户管理”或“安全设置”中寻找修改入口，同样需要经过多重安全验证来确保是本人操作。另外，若您已开通个人网上银行，通过电脑端登录网银页面，在客户服务或个人信息维护模块中。,1,GPT-5,finance,231,train
PAIR-000508,SAMPLE-003043,1050,我有一个计算机相关的问题，请用中文回答，什么是 BIOS,"BIOS是英文""Basic Input Output System""的缩略词，直译过来后中文名称就是""基本输入输出系统""。在IBM PC兼容系统上，是一种业界标准的固件接口。BIOS这个字眼是在1975年第一次由CP/M操作系统中出现。BIOS是个人电脑启动时加载的第一个软件。 其实，它是一组固化到计算机内主板上一个ROM芯片上的程序，它保存着计算机最重要的基本输入输出的程序、开机后自检程序和系统自启动程序，它可从CMOS中读写系统设置的具体信息。 其主要功能是为计算机提供最底层的、最直接的硬件设置和控制。此外，BIOS还向作业系统提供一些系统参数。系统硬件的变化是由BIOS隐藏，程序使用BIOS功能而不是直接控制硬件。现代作业系统会忽略BIOS提供的抽象层并直接控制硬件组件。 当今，此系统已成为一些病毒木马的目标。一旦此系统被破坏，其后果不堪设想。",0,human,baike,380,train
PAIR-000461,SAMPLE-002761,6513,想把闲钱投在华*金融各位觉得怎么样？能信吗？,所在城市若有招商银行，也可了解下招行发售的理财产品，首次购买理财产品，需先办理风险评估，评估后，可购买对应您的风险承受能力等级的理财产品。您可以进入招行主页，点击理财产品-个人理财产品页面查看，也可通过搜索分类您需要的理财产品。温馨提示：购买之前请详细阅读产品说明书。,0,human,finance,134,train
PAIR-000627,SAMPLE-003757,433,我有一个计算机相关的问题，请用中文回答，什么是 网络计算技术,网络计算技术(Network computing technology） 指用户通过专用计算机网络或公共计算机网络进行信息传递和处理的技术。计算机网络虽然在1969年就出现，但网络计算大发展还是在90年代的事。随着世界各个国家信息基础设施（NII）计划的开展，网络计算的重要性越来越突出，人们普遍认为世界将进入以网络为中心的计算时代。,0,human,baike,167,train
PAIR-000304,SAMPLE-001822,3236,如何劝说家人同意买日系车？家里最近打算买辆车，第一个条件就是Pass 掉日系，但是我只喜欢本田的思域跟思铂睿，该怎样劝说家人同意买日系,理解你想买思域或思铂睿的心情，但家人对日系车有顾虑，硬劝容易引发对立。建议先倾听他们反对的具体原因，比如安全、爱国或皮薄。然后针对性地用事实回应：本田在国内外碰撞测试成绩优秀，车身结构强度不输德系；同时强调思域和思铂睿的操控、油耗和保值率优势，能降低长期用车成本。可以提议带家人去试驾，让他们亲身感受空间和舒适度，并承诺遵守家庭用车习惯。,1,DeepSeek,open_questions,199,train
